Condition_mM,Track,InitialSpeedNorm_pct,MotilityThreshold_pct,MotilitySuppTime_s
21,0001_1,99.7475089372263,49.87375446861315,
21,0001_2,96.87748601293409,48.43874300646704,
21,0001_3,108.89957814805098,54.44978907402549,
21,0001_4,95.94852008894988,47.97426004447494,
21,0002_1,106.11159627499345,53.05579813749672,
21,0002_2,98.80003454568286,49.40001727284143,
21,0002_3,119.86016936044608,59.93008468022304,
21,0003_1,102.84791715027025,51.423958575135124,
21,0003_2,100.52098446573639,50.260492232868195,
21,0003_3,133.6660438482244,66.8330219241122,
21,0004_1,105.88229834524243,52.941149172621216,77.21428571428571
21,0004_2,100.85702257542421,50.428511287712105,
21,0005_1,84.75510465502046,42.37755232751023,255.92857142857144
21,0005_2,,,
21,0005_3,93.32074363326186,46.66037181663093,
21,0006_1,103.61243684810873,51.806218424054364,50.42857142857142
21,0006_2,106.62532811060296,53.31266405530148,39.64285714285714
21,0006_3,103.8527590700862,51.9263795350431,282.9285714285714
21,0007_1,94.92799174622716,47.46399587311358,
21,0007_2,97.60257064266236,48.80128532133118,367.9285714285714
21,0007_3,102.17550006218559,51.087750031092796,
150,0001_1,104.10797987913179,52.053989939565895,378.0
150,0001_2,97.70481467362428,48.85240733681214,472.07142857142856
150,0001_3,105.62604473630259,52.813022368151294,
150,0001_4,111.33418843546605,55.66709421773302,
150,0002_1,100.44928263547065,50.224641317735326,
150,0002_2,104.62968136210999,52.314840681054996,
150,0002_3,100.51299213732027,50.256496068660134,
150,0004_1,99.85917021618398,49.92958510809199,
150,0004_2,101.12839784914092,50.56419892457046,281.5
150,0004_3,90.41734054226762,45.20867027113381,
150,0005_1,101.2463449294832,50.6231724647416,
150,0005_2,101.49180918424811,50.745904592124056,
150,0005_3,108.95305653457132,54.47652826728566,
150,0005_4,109.01494698390414,54.50747349195207,
150,0006_1,106.48627029567294,53.24313514783647,
150,0006_2,101.27028805639883,50.63514402819941,
150,0006_3,104.5320183354487,52.26600916772435,
250,0001_1,100.25064805356146,50.12532402678073,272.85714285714283
250,0001_2,89.0618709442168,44.5309354721084,421.8571428571428
250,0001_3,165.47457134700207,82.73728567350103,286.4285714285714
250,0002_1,100.21800556669555,50.109002783347776,292.7857142857143
250,0002_2,102.14818158615095,51.07409079307548,294.07142857142856
250,0002_3,90.73558459136542,45.36779229568271,149.42857142857142
250,0002_4,92.42901678205061,46.214508391025305,
250,0003_1,123.9566060250781,61.97830301253905,
250,0003_2,96.4074628453447,48.20373142267235,308.85714285714283
250,0003_3,110.69283866918691,55.346419334593456,333.85714285714283
